,dataset_name_sub,site_name,profile_name,elevation..m.,tree_Plot,tree_ELEV,geometry_profile,ISCN.1.1..2015.12.10.,dataset_name_soc,lat..dec..deg.,long..dec..deg.,datum..datum.,state..state_province.,country..country.,observation_date..YYYY.MM.DD.,layer_name,layer_top..cm.,layer_bot..cm.,hzn_desgn_other,hzn,hzn_desgn,layer_note,color,vegclass_local,soil_taxon,soil_series,bd_method,bd_samp..g.cm.3.,bd_tot..g.cm.3.,bd_whole..g.cm.3.,bd_other..g.cm.3.,bdNRCS_prep_code,cNRCS_prep_code,c_method,c_tot..percent.,oc..percent.,loi..percent.,n_tot..percent.,c_to_n..mass.ratio.,soc..g.cm.2.,soc_carbon_flag,soc_method,ph_method,ph_cacl,ph_h2o,ph_other,caco3..percent.,sand_tot_psa..percent.,silt_tot_psa..percent.,clay_tot_psa..percent.,wpg2_method,wpg2..percent.,cat_exch..cmol.H..kg.1.,al_dith..specified.by.al_fe_units.,al_ox..specified.by.al_fe_units.,al_other..specified.by.al_fe_units.,fe_dith..specified.by.al_fe_units.,fe_ox..specified.by.al_fe_units.,fe_other..specified.by.al_fe_units.,mn_dith..specified.by.al_fe_units.,mn_ox..specified.by.al_fe_units.,mn_other..specified.by.al_fe_units.,al_fe_units..extract_units.,al_fe_method,ca_al..specified.by.bc_units.,ca_ext..specified.by.bc_units.,k_ext..specified.by.bc_units.,mg_ext..specified.by.bc_units.,na_ext..specified.by.bc_units.,bc_units..extract_units.,bc_method,base_sum..specified.by.cec_h_units.,cec_sum..specified.by.cec_h_units.,ecec..specified.by.cec_h_units.,cec_h_units..extract_units.,bs..percent.,bs_sum..percent.,h_ext..specified.by.metal_ext_units.,zn_ext..specified.by.metal_ext_units.,metal_ext_units..extract_units.,metal_ext_method,p_bray..specified.by.p_units.,p_ox..specified.by.p_units.,p_meh..specified.by.p_units.,p_other..specified.by.p_units.,p_units..extract_units.,p_method,root_quant_size,root_weight..g.,X15n....,X13c....,X14c....,X14c_sigma....,X14c_age..BP.,X14c_age_sigma..BP.,fraction_modern,fraction_modern_sigma,textureClass,locator_parent_alias,DOS.hzn,foresttype,
1,Worldwide soil carbon and nitrogen data,67-AK-51-2,85111,137,20458,152.4,c(822090.540796144,6350379.3939276),NA,ISCN No SOC stock computation,57.1833,-135.6667,NAD27,Alaska,United States,1975,85111.3,0,5,NA,?,unknown,NA,NA,COOL CONIFER FOREST,PLACHUMOD,(A7-13),measured as weight per unit volume,0.96,NA,NA,NA,NA,NA,dry combustion,5.11,NA,NA,0.1,NA,0.24528,soc [c_tot*bd_samp],no fill,NA,NA,NA,4.1,NA,40,52,8,measured,11,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,western-hemlock
2,Worldwide soil carbon and nitrogen data,67-AK-51-2,85111,137,20458,152.4,c(822090.540796144,6350379.3939276),NA,ISCN No SOC stock computation,57.1833,-135.6667,NAD27,Alaska,United States,1975,85111.4,5,8,NA,?,unknown,NA,NA,COOL CONIFER FOREST,PLACHUMOD,(A7-13),predicted from %C,NA,NA,NA,0.9,NA,NA,dry combustion,6.86,NA,NA,0.2,NA,NA,no_soc [no bd],no fill,NA,NA,NA,4,NA,NA,NA,NA,measured,19,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,western-hemlock
3,Worldwide soil carbon and nitrogen data,67-AK-51-2,85111,137,20458,152.4,c(822090.540796144,6350379.3939276),NA,ISCN No SOC stock computation,57.1833,-135.6667,NAD27,Alaska,United States,1975,85111.5,8,20,NA,?,unknown,NA,NA,COOL CONIFER FOREST,PLACHUMOD,(A7-13),measured as weight per unit volume,0.59,NA,NA,NA,NA,NA,dry combustion,18.12,NA,NA,0.4,NA,1.2829,soc [c_tot*bd_samp],no fill,NA,NA,NA,4.2,NA,51,39,10,measured,26,92.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,western-hemlock
4,Worldwide soil carbon and nitrogen data,67-AK-51-2,85111,137,20458,152.4,c(822090.540796144,6350379.3939276),NA,ISCN No SOC stock computation,57.1833,-135.6667,NAD27,Alaska,United States,1975,85111.2,8,0,NA,?,unknown,NA,NA,COOL CONIFER FOREST,PLACHUMOD,(A7-13),measured as weight per unit volume,0.83,NA,NA,NA,NA,NA,dry combustion,49.03,NA,NA,0.8,NA,3.25559,soc [c_tot*bd_samp],no fill,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,western-hemlock
5,Worldwide soil carbon and nitrogen data,67-AK-51-2,85111,137,20458,152.4,c(822090.540796144,6350379.3939276),NA,ISCN No SOC stock computation,57.1833,-135.6667,NAD27,Alaska,United States,1975,85111.6,20,30,NA,?,unknown,NA,NA,COOL CONIFER FOREST,PLACHUMOD,(A7-13),measured as weight per unit volume,0.35,NA,NA,NA,NA,NA,dry combustion,17.28,NA,NA,0.3,NA,0.6048,soc [c_tot*bd_samp],no fill,NA,NA,NA,4.5,NA,NA,NA,NA,measured,5,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,western-hemlock
6,Worldwide soil carbon and nitrogen data,67-AK-51-2,85111,137,20458,152.4,c(822090.540796144,6350379.3939276),NA,ISCN No SOC stock computation,57.1833,-135.6667,NAD27,Alaska,United States,1975,85111.1,25,8,NA,?,unknown,NA,NA,COOL CONIFER FOREST,PLACHUMOD,(A7-13),predicted from %C,NA,NA,NA,0.41,NA,NA,dry combustion,50.69,NA,NA,0.8,NA,NA,no_soc [no bd],no fill,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,western-hemlock
7,Worldwide soil carbon and nitrogen data,67-AK-51-2,85111,137,20458,152.4,c(822090.540796144,6350379.3939276),NA,ISCN No SOC stock computation,57.1833,-135.6667,NAD27,Alaska,United States,1975,85111.7,30,33,NA,?,unknown,NA,NA,COOL CONIFER FOREST,PLACHUMOD,(A7-13),measured as weight per unit volume,0.43,NA,NA,NA,NA,NA,dry combustion,11.67,NA,NA,0.2,NA,0.150543,soc [c_tot*bd_samp],no fill,NA,NA,NA,5,NA,NA,NA,NA,measured,0,76.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,western-hemlock
8,Worldwide soil carbon and nitrogen data,67-AK-51-2,85111,137,20458,152.4,c(822090.540796144,6350379.3939276),NA,ISCN No SOC stock computation,57.1833,-135.6667,NAD27,Alaska,United States,1975,85111.8,33,56,NA,?,unknown,NA,NA,COOL CONIFER FOREST,PLACHUMOD,(A7-13),measured as weight per unit volume,0.29,NA,NA,NA,NA,NA,dry combustion,4.26,NA,NA,0.1,NA,0.284142,soc [c_tot*bd_samp],no fill,NA,NA,NA,5.5,NA,NA,NA,NA,measured,0,44.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,western-hemlock
9,Worldwide soil carbon and nitrogen data,67-AK-51-2,85111,137,20458,152.4,c(822090.540796144,6350379.3939276),NA,ISCN No SOC stock computation,57.1833,-135.6667,NAD27,Alaska,United States,1975,85111.9,56,91,NA,?,unknown,NA,NA,COOL CONIFER FOREST,PLACHUMOD,(A7-13),predicted from %C,NA,NA,NA,1.09,NA,NA,dry combustion,3.11,NA,NA,0.1,NA,NA,no_soc [no bd],no fill,NA,NA,NA,5.6,NA,NA,NA,NA,measured,0,37.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,western-hemlock
10,Worldwide soil carbon and nitrogen data,67-AK-51-2,85111,137,20458,152.4,c(822090.540796144,6350379.3939276),NA,ISCN No SOC stock computation,57.1833,-135.6667,NAD27,Alaska,United States,1975,85111.1,91,190,NA,?,unknown,NA,NA,COOL CONIFER FOREST,PLACHUMOD,(A7-13),measured as weight per unit volume,0.3,NA,NA,NA,NA,NA,dry combustion,2.75,NA,NA,0.1,NA,0.81675,soc [c_tot*bd_samp],no fill,NA,NA,NA,5.6,NA,31,44,25,measured,0,33.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,western-hemlock
