,Plot,Yr,dwdC.tacre,dwdC.gm2,dwdC.Mgha,AGunderstoryC.tacre,BGunderstoryC.tacre,AGunderstoryC.gm2,BGunderstoryC.gm2,AGunderstoryC.Mgha,BGunderstoryC.Mgha,litterC.tacre,litterC.gm2,litterC.Mgha,foresttype
1,26,1998,11.715347,2626.229337,26.26229337,0.929509,0.103279,208.3680325,23.15205343,2.083680325,0.2315205343,21.788777,4884.39014,48.8439014,mountain-hemlock
2,26,2005,22.193741,4975.17092,49.7517092,1.114379,0.12382,249.8103404,27.7567294,2.498103404,0.277567294,16.776723,3760.837995,37.60837995,mountain-hemlock
3,26,2016,22.126059,4959.998646,49.59998646,1.110794,0.123422,249.006691,27.66750974,2.49006691,0.2766750974,16.776723,3760.837995,37.60837995,mountain-hemlock
4,33,2012,1.47895825,331.5380709,3.315380709,2.4753115,0.275035,554.890579,61.65459595,5.54890579,0.6165459595,8.9237245,2000.431321,20.00431321,lodgepole-pine
5,69,2009,7.218501,1618.171369,16.18171369,1.006505,0.111834,225.6282259,25.06982778,2.256282259,0.2506982778,12.780986,2865.113632,28.65113632,alaska-yellow-cedar
6,69,2020,6.879925,1542.272787,15.42272787,1.014378,0.112709,227.3931163,25.26597653,2.273931163,0.2526597653,13.098264,2936.237841,29.36237841,alaska-yellow-cedar
7,74,1999,0.6715312875,150.5371687,1.505371687,0.199328736,0.02214771,44.68352275,4.964852151,0.4468352275,0.04964852151,2.645588595,593.0615953,5.930615953,sitka-spruce
8,74,2012,1.3562545,304.0315713,3.040315713,0.284344,0.03159375,63.74139448,7.082370938,0.6374139448,0.07082370938,4.725876,1059.399623,10.59399623,sitka-spruce
9,139,1995,8.153629,1827.799013,18.27799013,1.032879,0.114764,231.5404854,25.72664588,2.315404854,0.2572664588,27.491852,6162.848463,61.62848463,western-hemlock
10,139,2010,13.158283,2949.6923,29.496923,0.930757,0.103417,208.6477967,23.18298889,2.086477967,0.2318298889,10.76934,2414.162948,24.14162948,western-hemlock
11,171,1997,1.081263,242.3867267,2.423867267,1.608118,0.17868,360.4918121,40.0546956,3.604918121,0.400546956,23.523352,5273.229818,52.73229818,western-hemlock
12,171,2009,2.001716837,448.7248633,4.487248633,1.330527549,0.1478359739,298.2643607,33.14039027,2.982643607,0.3314039027,11.51351936,2580.985635,25.80985635,western-hemlock
13,171,2020,2.154831689,483.0486198,4.830486198,1.307994159,0.1453324741,293.2130506,32.57918072,2.932130506,0.3257918072,11.55149326,2589.498245,25.89498245,western-hemlock
14,229,1998,4.6783795,1048.752333,10.48752333,1.14534525,0.12726025,256.7520447,28.52793024,2.567520447,0.2852793024,20.3631045,4564.797136,45.64797136,mountain-hemlock
15,229,2004,8.59646325,1927.069167,19.27069167,1.01274775,0.1125275,227.0276631,25.22528968,2.270276631,0.2522528968,13.809831,3095.749815,30.95749815,mountain-hemlock
16,231,1998,12.34636,2767.683521,27.67683521,0.943882,0.104876,211.5900279,23.51005292,2.115900279,0.2351005292,24.324487,5452.820251,54.52820251,western-redcedar
17,239,1996,7.163995331,1605.952833,16.05952833,0.8130814596,0.0903422952,182.2684708,20.25203231,1.822684708,0.2025203231,21.67902234,4859.786437,48.59786437,western-hemlock
18,239,2009,16.73576195,3751.655755,37.51655755,0.7633662809,0.08481815026,171.1238192,19.01368474,1.711238192,0.1901368474,9.501578135,2129.968771,21.29968771,western-hemlock
19,239,2020,10.02864694,2248.121786,22.48121786,0.5959904628,0.06622086898,133.6031821,14.8447322,1.336031821,0.148447322,7.424162645,1664.27454,16.6427454,western-hemlock
20,256,1996,0.9363760193,209.9074122,2.099074122,0.3707690894,0.0411964948,83.11530677,9.235018239,0.8311530677,0.09235018239,6.435284514,1442.59773,14.4259773,alaska-yellow-cedar
21,256,2011,1.904964383,427.0358658,4.270358658,1.601924243,0.1779917162,359.1033576,39.90040301,3.591033576,0.3990040301,8.729408888,1956.871591,19.56871591,alaska-yellow-cedar
22,326,1998,10.564137,2368.162591,23.68162591,0.976275,0.108475,218.8515668,24.31684075,2.188515668,0.2431684075,30.095686,6746.549931,67.46549931,western-hemlock
23,326,2004,17.973565,4029.134066,40.29134066,0.869689,0.096632,194.9581831,21.66199544,1.949581831,0.2166199544,13.817434,3097.45418,30.9745418,western-hemlock
24,326,2015,20.384798,4569.660168,45.69660168,0.930458,0.103384,208.5807699,23.17559128,2.085807699,0.2317559128,14.792191,3315.965456,33.15965456,western-hemlock
25,362,2005,1.805073,404.6432144,4.046432144,1.262806,0.140312,283.083221,31.45374104,2.83083221,0.3145374104,13.953351,3127.922694,31.27922694,mountain-hemlock
26,362,2016,1.989776,446.0480859,4.460480859,1.242737,0.138082,278.5843533,30.95384194,2.785843533,0.3095384194,14.032983,3145.773799,31.45773799,mountain-hemlock
27,440,1996,9.577327,2146.949394,21.46949394,0.960688,0.106743,215.357429,23.92857831,2.15357429,0.2392857831,22.251741,4988.17278,49.8817278,alaska-yellow-cedar
28,440,2011,20.519114,4599.769785,45.99769785,1.030293,0.114477,230.9607818,25.66230909,2.309607818,0.2566230909,11.40864,2557.474829,25.57474829,alaska-yellow-cedar
29,452,1996,4.942526,1107.966053,11.07966053,1.151695,0.127966,258.1754682,28.68613822,2.581754682,0.2868613822,28.835289,6464.006735,64.64006735,western-redcedar
30,452,2008,8.629675,1934.514245,19.34514245,1.020263,0.113363,228.7123567,25.41258371,2.287123567,0.2541258371,13.024185,2919.631551,29.19631551,western-redcedar
31,452,2019,8.380156,1878.579571,18.78579571,1.026774,0.114086,230.1719276,25.57465862,2.301719276,0.2557465862,13.038726,2922.891207,29.22891207,western-redcedar
32,469,1998,0.96687432,216.7442163,2.167442163,0.33353937,0.03705993,74.76952057,8.307724508,0.7476952057,0.08307724508,7.70300064,1726.781653,17.26781653,western-hemlock
33,469,2012,12.350785,2768.675473,27.68675473,0.92155,0.102394,206.5838635,22.95366298,2.065838635,0.2295366298,14.056055,3150.945849,31.50945849,western-hemlock
34,561,1997,1.53899,344.9953883,3.449953883,1.295985,0.143998,290.5209575,32.28003166,2.905209575,0.3228003166,21.190683,4750.315408,47.50315408,mountain-hemlock
