,Plot,Yr,LAT,LON,ELEV,Common.Name,biomass.Mg.ha.dead,biomass.Mg.ha.live,standingdead_C_Mg_ha,livetree_C_Mg_ha,carbonratio,BGtree_C_Mg_ha,foresttype,standingdead_C_gm2,livetree_C_gm2,BGtree_C_gm2,total_treeC_gm2,NPP_C_gm2y,Year_start_NPP,Year_end_NPP
1,26,1998,55.48426,-131.237755,1700,mountain hemlock,273.79951,1632.257531,136.899755,816.1287653,0.478,390.1095498,mountain-hemlock,13689.9755,81612.87653,39010.95498,120623.8315,NA,NA,NA
2,26,1998,55.48426,-131.237755,1700,Alaska yellow-cedar,NA,219.5967975,NA,109.7983987,0.478,52.4836346,mountain-hemlock,NA,10979.83987,5248.36346,16228.20333,NA,NA,NA
3,26,1998,55.48426,-131.237755,1700,Sitka spruce,NA,226.6104926,NA,113.3052463,0.5,56.65262314,mountain-hemlock,NA,11330.52463,5665.262314,16995.78694,NA,NA,NA
4,26,1998,55.48426,-131.237755,1700,western hemlock,NA,976.4431676,NA,488.2215838,0.507,247.528343,mountain-hemlock,NA,48822.15838,24752.8343,73574.99268,NA,NA,NA
5,26,2005,55.48426,-131.237755,1700,mountain hemlock,262.521197,1502.401307,131.2605985,751.2006536,0.478,359.0739124,mountain-hemlock,13126.05985,75120.06536,35907.39124,111027.4566,-1370.9107,1998,2005
6,26,2005,55.48426,-131.237755,1700,Alaska yellow-cedar,NA,250.2805629,NA,125.1402814,0.478,59.81705452,mountain-hemlock,NA,12514.02814,5981.705452,18495.7336,323.9328946,1998,2005
7,26,2005,55.48426,-131.237755,1700,Sitka spruce,NA,224.9081653,NA,112.4540826,0.5,56.22704132,mountain-hemlock,NA,11245.40826,5622.704132,16868.1124,-18.23922106,1998,2005
8,26,2005,55.48426,-131.237755,1700,western hemlock,NA,1244.266873,NA,622.1334367,0.507,315.4216524,mountain-hemlock,NA,62213.34367,31542.16524,93755.50891,2882.930891,1998,2005
9,26,2016,55.48426,-131.237755,1700,Alaska yellow-cedar,91.9225333,171.8263495,45.96126665,85.91317477,0.478,41.06649754,mountain-hemlock,4596.126665,8591.317477,4106.649754,12697.96723,-527.0696695,2005,2016
10,26,2016,55.48426,-131.237755,1700,mountain hemlock,145.8617082,1496.401719,72.93085412,748.2008597,0.478,357.6400109,mountain-hemlock,7293.085412,74820.08597,35764.00109,110584.0871,-40.30632295,2005,2016
11,26,2016,55.48426,-131.237755,1700,Sitka spruce,NA,246.3811785,NA,123.1905893,0.5,61.59529464,mountain-hemlock,NA,12319.05893,6159.529464,18478.58839,146.4069087,2005,2016
12,26,2016,55.48426,-131.237755,1700,western hemlock,NA,1306.947683,NA,653.4738414,0.507,331.3112376,mountain-hemlock,NA,65347.38414,33131.12376,98478.5079,429.3635449,2005,2016
13,33,2012,56.740751,-133.333632,100,lodgepole pine,NA,17.05636956,NA,8.528184778,0.503,4.289676943,lodgepole-pine,NA,852.8184778,428.9676943,1281.786172,NA,NA,NA
14,33,2012,56.740751,-133.333632,100,Sitka spruce,108.5828969,10.81304991,54.29144845,5.406524954,0.5,2.703262477,western-hemlock,5429.144845,540.6524954,270.3262477,810.9787431,NA,NA,NA
15,33,2012,56.740751,-133.333632,100,western hemlock,252.1237654,385.7559728,126.0618827,192.8779864,0.507,97.7891391,western-hemlock,12606.18827,19287.79864,9778.91391,29066.71255,NA,NA,NA
16,33,2012,56.740751,-133.333632,100,mountain hemlock,NA,191.7372934,NA,95.86864668,0.478,45.82521311,western-hemlock,NA,9586.864668,4582.521311,14169.38598,NA,NA,NA
17,69,2009,55.081839,-132.804055,300,Alaska yellow-cedar,116.9367206,277.3185195,58.46836031,138.6592598,0.478,66.27912616,alaska-yellow-cedar,5846.836031,13865.92598,6627.912616,20493.83859,NA,NA,NA
